Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Kenny Marchant ,Rep,3-Jan-05,RepKenMarchant,RepKenMarchant,RepKenMarchant,RepKenMarchant,
Kevin Brady ,Rep,3-Jan-97,RepKevinBrady,RepKevinBrady,RepKevinBrady,RepKevinBrady,
Kevin Hern ,Rep,13-Nov-18,repkevinhern,repkevinhern,repkevinhern,repkevinhern,
Kevin McCarthy ,Rep,3-Jan-07,GOPLeader,GOPLeader,GOPLeader,GOPLeader,
Kim Schrier ,Rep,3-Jan-19,RepKimSchrier,RepKimSchrier,RepKimSchrier,RepKimSchrier,
Kurt Schrader ,Rep,3-Jan-09,RepSchrader,RepSchrader,RepSchrader,RepSchrader,
Lacy Clay ,Rep,3-Jan-01,LacyClayMO1,LacyClayMO1,,,(Name is present with no Twitter handle in Github)
Lance Gooden ,Rep,3-Jan-19,RepLanceGooden,RepLanceGooden,RepLanceGooden,RepLanceGooden,
Larry Bucshon ,Rep,3-Jan-11,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,
Lauren Underwood ,Rep,3-Jan-19,RepUnderwood,RepUnderwood,RepUnderwood,RepUnderwood,
Lee Zeldin ,Rep,3-Jan-15,RepLeeZeldin,RepLeeZeldin,RepLeeZeldin,RepLeeZeldin,
Linda Sánchez ,Rep,3-Jan-03,RepLindaSanchez,RepLindaSanchez,RepLindaSanchez,RepLindaSanchez,
Lisa Blunt Rochester,Rep,3-Jan-17,RepLBR,RepLBR,RepLBR,RepLBR,
Liz Cheney ,Rep,3-Jan-17,RepLizCheney,RepLizCheney,RepLizCheney,RepLizCheney,
Lizzie Fletcher ,Rep,3-Jan-19,RepFletcher,RepFletcher,RepFletcher,RepFletcher,
Lloyd Doggett ,Rep,3-Jan-95,RepLloydDoggett,RepLloydDoggett,RepLloydDoggett,RepLloydDoggett,
Lloyd Smucker ,Rep,3-Jan-17,RepSmucker,RepSmucker,RepSmucker,RepSmucker,
Lois Frankel ,Rep,3-Jan-13,RepLoisFrankel,RepLoisFrankel,RepLoisFrankel,RepLoisFrankel,
Lori Trahan ,Rep,3-Jan-19,RepLoriTrahan,RepLoriTrahan,RepLoriTrahan,RepLoriTrahan,
Lou Correa ,Rep,3-Jan-17,RepLouCorrea,RepLouCorrea,RepLouCorrea,RepLouCorrea,
Louie Gohmert ,Rep,3-Jan-05,RepLouieGohmert,RepLouieGohmert,RepLouieGohmert,RepLouieGohmert,
Lucille Roybal-Allard ,Rep,3-Jan-93,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,
Lucy McBath ,Rep,3-Jan-19,replucymcbath,replucymcbath,replucymcbath,replucymcbath,
Mac Thornberry ,Rep,3-Jan-95,MacTXPress,MacTXPress,MacTXPress,MacTXPress,
Madeleine Dean ,Rep,3-Jan-19,RepDean,RepDean,RepDean,RepDean,
Marc Veasey ,Rep,3-Jan-13,RepVeasey,RepVeasey,RepVeasey,RepVeasey,
Marcia Fudge ,Rep,18-Nov-08,RepMarciaFudge,RepMarciaFudge,RepMarciaFudge,RepMarciaFudge,
Marcy Kaptur ,Rep,3-Jan-83,RepMarcyKaptur,RepMarcyKaptur,RepMarcyKaptur,RepMarcyKaptur,
Mario Diaz-Balart ,Rep,3-Jan-03,MarioDB,MarioDB,MarioDB,MarioDB,
Mark Amodei ,Rep,13-Sep-11,MarkAmodeiNV2,MarkAmodeiNV2,MarkAmodeiNV2,MarkAmodeiNV2,
Mark DeSaulnier ,Rep,3-Jan-15,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,
Mark E. Green,Rep,3-Jan-19,RepMarkGreen,RepMarkGreen,RepMarkGreen,RepMarkGreen,
Mark Meadows ,Rep,3-Jan-17,RepMarkMeadows,RepMarkMeadows,RepMarkMeadows,RepMarkMeadows,
Mark Pocan ,Rep,3-Jan-13,RepMarkPocan,RepMarkPocan,RepMarkPocan,RepMarkPocan,
Mark Takano ,Rep,3-Jan-13,RepMarkTakano,RepMarkTakano,RepMarkTakano,RepMarkTakano,
Mark Walker ,Rep,3-Jan-15,RepMarkWalker,RepMarkWalker,RepMarkWalker,RepMarkWalker,
Markwayne Mullin ,Rep,3-Jan-13,RepMullin,RepMullin,RepMullin,RepMullin,
Martha Roby ,Rep,3-Jan-11,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,
Mary Gay Scanlon,Rep,13-Nov-18,RepMGS,RepMGS,RepMGS,RepMGS,
Matt Cartwright ,Rep,3-Jan-13,RepCartwright,RepCartwright,RepCartwright,RepCartwright,
Matt Gaetz ,Rep,3-Jan-17,RepMattGaetz,RepMattGaetz,RepMattGaetz,RepMattGaetz,
Max Rose ,Rep,3-Jan-19,RepMaxRose,RepMaxRose,RepMaxRose,RepMaxRose,
Maxine Waters ,Rep,3-Jan-91,RepMaxineWaters,RepMaxineWaters,RepMaxineWaters,RepMaxineWaters,
Michael Burgess ,Rep,3-Jan-03,MichaelCBurgess,MichaelCBurgess,MichaelCBurgess,MichaelCBurgess,
Michael Cloud ,Rep,10-Jul-18,RepCloudTX,RepCloudTX,RepCloudTX,RepCloudTX,
Michael F. Doyle,Rep,3-Jan-95,USRepMikeDoyle,USRepMikeDoyle,USRepMikeDoyle,USRepMikeDoyle,
Michael Guest ,Rep,3-Jan-19,RepMichaelGuest,RepMichaelGuest,RepMichaelGuest,RepMichaelGuest,
Michael McCaul ,Rep,3-Jan-05,RepMcCaul,RepMcCaul,RepMcCaul,RepMcCaul,
Michael San Nicolas,Rep,3-Jan-19,,,,,NO TWITTER
Michael Waltz ,Rep,3-Jan-19,RepMichaelWaltz,RepMichaelWaltz,RepMichaelWaltz,RepMichaelWaltz,
Mike Bost ,Rep,3-Jan-15,RepBost,RepBost,RepBost,RepBost,
Mike Conaway ,Rep,3-Jan-05,ConawayTX11,ConawayTX11,ConawayTX11,ConawayTX11,
Mike Gallagher ,Rep,3-Jan-17,RepGallagher,RepGallagher,RepGallagher,RepGallagher,
Mike Johnson ,Rep,3-Jan-17,RepMikeJohnson,RepMikeJohnson,RepMikeJohnson,RepMikeJohnson,
Mike Kelly ,Rep,3-Jan-11,MikeKellyPA,MikeKellyPA,MikeKellyPA,MikeKellyPA,
Mike Levin ,Rep,3-Jan-19,RepMikeLevin,RepMikeLevin,RepMikeLevin,RepMikeLevin,
Mike Quigley ,Rep,7-Apr-09,RepMikeQuigley,RepMikeQuigley,RepMikeQuigley,RepMikeQuigley,
Mike Rogers ,Rep,3-Jan-03,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,
Mike Simpson ,Rep,3-Jan-99,CongMikeSimpson,CongMikeSimpson,CongMikeSimpson,CongMikeSimpson,
Mike Thompson ,Rep,3-Jan-99,RepThompson,RepThompson,RepThompson,RepThompson,
Mike Turner ,Rep,3-Jan-13,RepMikeTurner,RepMikeTurner,RepMikeTurner,RepMikeTurner,
Mikie Sherrill ,Rep,3-Jan-19,RepSherrill,RepSherrill,RepSherrill,RepSherrill,
Mo Brooks ,Rep,3-Jan-11,RepMoBrooks,RepMoBrooks,RepMoBrooks,RepMoBrooks,
Morgan Griffith ,Rep,3-Jan-11,RepMGriffith,RepMGriffith,RepMGriffith,RepMGriffith,
Nancy Pelosi ,Rep,2-Jun-87,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,
Nanette Barragán ,Rep,3-Jan-17,RepBarragan,RepBarragan,RepBarragan,RepBarragan,
Neal Dunn ,Rep,3-Jan-17,drnealdunnfl2,drnealdunnfl2,drnealdunnfl2,drnealdunnfl2,
Nita Lowey ,Rep,3-Jan-89,NitaLowey,NitaLowey,NitaLowey,NitaLowey,
Norma Torres ,Rep,3-Jan-15,NormaJTorres,NormaJTorres,NormaJTorres,NormaJTorres,
Nydia Velázquez ,Rep,3-Jan-13,NydiaVelazquez,NydiaVelazquez,NydiaVelazquez,NydiaVelazquez,
Patrick McHenry ,Rep,3-Jan-05,PatrickMcHenry,PatrickMcHenry,PatrickMcHenry,PatrickMcHenry,
Paul Cook ,Rep,3-Jan-13,RepPaulCook,RepPaulCook,RepPaulCook,RepPaulCook,
Paul Gosar ,Rep,3-Jan-11,RepGosar,RepGosar,RepGosar,RepGosar,
Paul Mitchell ,Rep,3-Jan-17,RepPaulMitchell,RepPaulMitchell,RepPaulMitchell,RepPaulMitchell,
Paul Tonko ,Rep,3-Jan-13,RepPaulTonko,RepPaulTonko,RepPaulTonko,RepPaulTonko,
Pete Aguilar ,Rep,3-Jan-15,reppeteaguilar,reppeteaguilar,reppeteaguilar,reppeteaguilar,
Pete Olson ,Rep,3-Jan-09,RepPeteOlson,RepPeteOlson,RepPeteOlson,RepPeteOlson,
Pete Stauber ,Rep,3-Jan-19,RepPeteStauber,RepPeteStauber,RepPeteStauber,RepPeteStauber,
Pete Visclosky ,Rep,3-Jan-85,RepVisclosky,RepVisclosky,RepVisclosky,RepVisclosky,
Peter DeFazio ,Rep,3-Jan-87,RepPeterDeFazio,RepPeterDeFazio,RepPeterDeFazio,RepPeterDeFazio,
Peter T. King,Rep,3-Jan-93,RepPeteKing,RepPeteKing,RepPeteKing,RepPeteKing,
Peter Welch ,Rep,3-Jan-07,PeterWelch,PeterWelch,PeterWelch,PeterWelch,
Phil Roe ,Rep,3-Jan-09,DrPhilRoe,DrPhilRoe,DrPhilRoe,DrPhilRoe,
Pramila Jayapal ,Rep,3-Jan-17,RepJayapal,RepJayapal,RepJayapal,RepJayapal,
Raja Krishnamoorthi ,Rep,3-Jan-17,congressmanraja,congressmanraja,congressmanraja,congressmanraja,
Ralph Abraham ,Rep,3-Jan-15,RepAbraham,RepAbraham,RepAbraham,RepAbraham,
Ralph Norman ,Rep,20-Jun-17,RepRalphNorman,RepRalphNorman,RepRalphNorman,RepRalphNorman,
Randy Weber ,Rep,3-Jan-13,TXRandy14,TXRandy14,TXRandy14,TXRandy14,
Rashida Tlaib ,Rep,3-Jan-19,RepRashida,RepRashida,RepRashida,RepRashida,
Raul Ruiz ,Rep,3-Jan-13,CongressmanRuiz,CongressmanRuiz,CongressmanRuiz,CongressmanRuiz,
Raúl Grijalva ,Rep,3-Jan-03,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,
Richard Hudson ,Rep,3-Jan-13,RepRichHudson,RepRichHudson,RepRichHudson,RepRichHudson,
Richard Neal ,Rep,3-Jan-89,RepRichardNeal,RepRichardNeal,RepRichardNeal,RepRichardNeal,
Rick Crawford ,Rep,3-Jan-11,RepRickCrawford,RepRickCrawford,RepRickCrawford,RepRickCrawford,
Rick Larsen ,Rep,3-Jan-01,RepRickLarsen,RepRickLarsen,RepRickLarsen,RepRickLarsen,
Rick W. Allen,Rep,3-Jan-15,reprickallen,reprickallen,reprickallen,reprickallen,
Ro Khanna ,Rep,3-Jan-17,RepRoKhanna,RepRoKhanna,RepRoKhanna,RepRoKhanna,
Rob Bishop ,Rep,3-Jan-03,RepRobBishop,RepRobBishop,RepRobBishop,RepRobBishop,
Rob Wittman ,Rep,11-Dec-07,RobWittman,RobWittman,RobWittman,RobWittman,
Rob Woodall ,Rep,3-Jan-11,RepRobWoodall,RepRobWoodall,RepRobWoodall,RepRobWoodall,
Robert Aderholt ,Rep,3-Jan-97,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,
Robin Kelly ,Rep,11-Apr-13,RepRobinKelly,RepRobinKelly,RepRobinKelly,RepRobinKelly,
Rodney Davis ,Rep,3-Jan-13,RodneyDavis,RodneyDavis,RodneyDavis,RodneyDavis,
Roger Marshall ,Rep,3-Jan-17,RepMarshall,RepMarshall,RepMarshall,RepMarshall,
Roger Williams ,Rep,3-Jan-13,RepRWilliams,RepRWilliams,RepRWilliams,RepRWilliams,
Ron Estes ,Rep,25-Apr-17,RepRonEstes,RepRonEstes,RepRonEstes,RepRonEstes,
Ron Kind ,Rep,3-Jan-97,RepRonKind,RepRonKind,RepRonKind,RepRonKind,
Ron Wright ,Rep,3-Jan-19,RepRonWright,RepRonWright,RepRonWright,RepRonWright,
Rosa DeLauro ,Rep,3-Jan-91,RosaDeLauro,RosaDeLauro,RosaDeLauro,RosaDeLauro,
Ross Spano ,Rep,3-Jan-19,RepRossSpano,RepRossSpano,RepRossSpano,RepRossSpano,
Ruben Gallego ,Rep,3-Jan-15,RepRubenGallego,RepRubenGallego,RepRubenGallego,RepRubenGallego,
Russ Fulcher ,Rep,3-Jan-19,RepRussFulcher,RepRussFulcher,RepRussFulcher,RepRussFulcher,
Salud Carbajal ,Rep,3-Jan-17,RepCarbajal,RepCarbajal,RepCarbajal,RepCarbajal,
Sam Graves ,Rep,3-Jan-01,RepSamGraves,RepSamGraves,RepSamGraves,RepSamGraves,
Sanford Bishop ,Rep,3-Jan-93,SanfordBishop,SanfordBishop,SanfordBishop,SanfordBishop,
Scott DesJarlais ,Rep,3-Jan-11,DesJarlaisTN04,DesJarlaisTN04,DesJarlaisTN04,DesJarlaisTN04,
Scott Perry ,Rep,3-Jan-13,RepScottPerry,RepScottPerry,RepScottPerry,RepScottPerry,
Scott Peters ,Rep,3-Jan-13,RepScottPeters,RepScottPeters,RepScottPeters,RepScottPeters,
Scott Tipton ,Rep,3-Jan-11,RepTipton,RepTipton,RepTipton,RepTipton,
Sean Casten ,Rep,3-Jan-19,RepCasten,RepCasten,RepCasten,RepCasten,
Sean Duffy ,Rep,3-Jan-11,RepSeanDuffy,RepSeanDuffy,RepSeanDuffy,RepSeanDuffy,
Sean Patrick Maloney,Rep,3-Jan-13,RepSeanMaloney,RepSeanMaloney,RepSeanMaloney,RepSeanMaloney,
Seth Moulton ,Rep,3-Jan-15,sethmoulton,sethmoulton,teammoulton,teammoulton,sethmoulton(CSPAN) teammoulton(REST)
Sharice Davids ,Rep,3-Jan-19,RepDavids,RepDavids,RepDavids,RepDavids,
Sheila Jackson Lee,Rep,3-Jan-95,JacksonLeeTX18,JacksonLeeTX18,JacksonLeeTX18,JacksonLeeTX18,
Stacey Plaskett ,Rep,3-Jan-15,staceyplaskett,staceyplaskett,staceyplaskett,staceyplaskett,
Steny Hoyer ,Rep,19-May-81,LeaderHoyer,LeaderHoyer,LeaderHoyer,LeaderHoyer,
Stephanie Murphy ,Rep,3-Jan-17,RepStephMurphy,RepStephMurphy,RepStephMurphy,RepStephMurphy,
Stephen F. Lynch,Rep,16-Oct-01,RepStephenLynch,RepStephenLynch,RepStephenLynch,RepStephenLynch,
Steve Chabot ,Rep,3-Jan-11,RepSteveChabot,RepSteveChabot,RepSteveChabot,RepSteveChabot,
Steve Cohen ,Rep,3-Jan-07,RepCohen,RepCohen,RepCohen,RepCohen,
Steve King ,Rep,3-Jan-03,SteveKingIA,SteveKingIA,SteveKingIA,SteveKingIA,
Steve Scalise ,Rep,3-May-08,SteveScalise,SteveScalise,SteveScalise,SteveScalise,
Steve Stivers ,Rep,3-Jan-11,RepSteveStivers,RepSteveStivers,RepSteveStivers,RepSteveStivers,
Steve Watkins ,Rep,3-Jan-19,Rep_Watkins,Rep_Watkins,Rep_Watkins,Rep_Watkins,
Steve Womack ,Rep,3-Jan-11,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,
Steven Horsford ,Rep,3-Jan-19,RepHorsford,RepHorsford,RepHorsford,RepHorsford,
Steven Palazzo ,Rep,3-Jan-11,CongPalazzo,CongPalazzo,CongPalazzo,CongPalazzo,
Susan Brooks ,Rep,3-Jan-13,SusanWBrooks,SusanWBrooks,SusanWBrooks,SusanWBrooks,
Susan Davis ,Rep,3-Jan-01,RepSusanDavis,RepSusanDavis,RepSusanDavis,RepSusanDavis,
Susan Wild ,Rep,27-Nov-18,RepSusanWild,RepSusanWild,RepSusanWild,RepSusanWild,
Susie Lee ,Rep,3-Jan-19,RepSusieLee,RepSusieLee,RepSusieLee,RepSusieLee,
Suzan DelBene ,Rep,13-Nov-12,RepDelBene,RepDelBene,RepDelBene,RepDelBene,
Suzanne Bonamici ,Rep,31-Jan-12,RepBonamici,RepBonamici,RepBonamici,RepBonamici,
Sylvia Garcia ,Rep,3-Jan-19,RepSylviaGarcia,RepSylviaGarcia,RepSylviaGarcia,RepSylviaGarcia,
Ted Budd ,Rep,3-Jan-17,RepTedBudd,RepTedBudd,RepTedBudd,RepTedBudd,
Ted Deutch ,Rep,13-Apr-10,RepTedDeutch,RepTedDeutch,RepTedDeutch,RepTedDeutch,
Ted Lieu ,Rep,3-Jan-15,RepTedLieu,RepTedLieu,RepTedLieu,RepTedLieu,
Ted Yoho ,Rep,3-Jan-13,RepTedYoho,RepTedYoho,RepTedYoho,RepTedYoho,
Terri Sewell ,Rep,3-Jan-11,RepTerriSewell,RepTerriSewell,RepTerriSewell,RepTerriSewell,
Thomas Massie ,Rep,13-Nov-12,RepThomasMassie,RepThomasMassie,RepThomasMassie,RepThomasMassie,
Thomas Suozzi ,Rep,3-Jan-17,RepTomSuozzi,RepTomSuozzi,RepTomSuozzi,RepTomSuozzi,
Tim Burchett ,Rep,3-Jan-19,RepTimBurchett,RepTimBurchett,RepTimBurchett,RepTimBurchett,
Tim Ryan ,Rep,3-Jan-03,RepTimRyan,RepTimRyan,RepTimRyan,RepTimRyan,
Tim Walberg ,Rep,3-Jan-11,RepWalberg,RepWalberg,RepWalberg,RepWalberg,
TJ Cox ,Rep,3-Jan-19,RepTjCox,RepTjCox,RepTjCox,RepTjCox,
Tom Cole ,Rep,3-Jan-03,TomColeOK04,TomColeOK04,TomColeOK04,TomColeOK04,
Tom Emmer ,Rep,3-Jan-15,RepTomEmmer,RepTomEmmer,RepTomEmmer,RepTomEmmer,
Tom Graves ,Rep,3-Jan-13,RepTomGraves,RepTomGraves,RepTomGraves,RepTomGraves,
Tom Malinowski ,Rep,3-Jan-19,RepMalinowski,RepMalinowski,RepMalinowski,RepMalinowski,
Tom McClintock ,Rep,3-Jan-09,RepMcClintock,RepMcClintock,RepMcClintock,RepMcClintock,
Tom O'Halleran ,Rep,3-Jan-17,repohalleran,repohalleran,repohalleran,repohalleran,
Tom Reed ,Rep,3-Jan-13,RepTomReed,RepTomReed,RepTomReed,RepTomReed,
Tom Rice ,Rep,3-Jan-13,RepTomRice,RepTomRice,RepTomRice,RepTomRice,
Tony Cárdenas ,Rep,3-Jan-13,RepCardenas,RepCardenas,RepCardenas,RepCardenas,
Trent Kelly ,Rep,2-Jun-15,reptrentkelly,reptrentkelly,reptrentkelly,reptrentkelly,
Trey Hollingsworth ,Rep,3-Jan-17,reptrey,reptrey,reptrey,reptrey,
Troy Balderson ,Rep,5-Sep-18,RepBalderson,RepBalderson,RepBalderson,RepBalderson,
Tulsi Gabbard ,Rep,3-Jan-13,TulsiPress,TulsiPress,TulsiPress,TulsiPress,
Val Demings ,Rep,3-Jan-17,RepValDemings,RepValDemings,RepValDemings,RepValDemings,
Van Taylor ,Rep,3-Jan-19,RepVanTaylor,RepVanTaylor,RepVanTaylor,RepVanTaylor,
Vern Buchanan ,Rep,3-Jan-07,VernBuchanan,VernBuchanan,VernBuchanan,VernBuchanan,
Veronica Escobar ,Rep,3-Jan-19,RepEscobar,RepEscobar,RepEscobar,RepEscobar,
Vicente González ,Rep,3-Jan-17,RepGonzalez,RepGonzalez,RepGonzalez,RepGonzalez,
Vicky Hartzler ,Rep,3-Jan-11,RepHartzler,RepHartzler,RepHartzler,RepHartzler,
Virginia Foxx ,Rep,3-Jan-05,VirginiaFoxx,VirginiaFoxx,VirginiaFoxx,VirginiaFoxx,
Warren Davidson ,Rep,7-Jun-16,WarrenDavidson,WarrenDavidson,WarrenDavidson,WarrenDavidson,
Will Hurd ,Rep,3-Jan-15,hurdonthehill,hurdonthehill,hurdonthehill,hurdonthehill,
William Timmons ,Rep,3-Jan-19,RepTimmons,RepTimmons,RepTimmons,RepTimmons,
Xochitl Torres Small,Rep,3-Jan-19,RepTorresSmall,RepTorresSmall,RepTorresSmall,RepTorresSmall,
Yvette Clarke ,Rep,3-Jan-13,RepYvetteClarke,RepYvetteClarke,RepYvetteClarke,RepYvetteClarke,
Zoe Lofgren ,Rep,3-Jan-95,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,
